name	saleprice	regularprice	image
"4"" GOLD LAKSHMI"	30	120	
"4"" LAKSHMI"	16.25	65	
"4"" MEGA LAKSHMI"	31.25	125	
"31/ "" LAKSHMI"	15	60	
"4"" QUEEN CRACKERS"	17.5	70	
"2*/4"" KURUVI"	8.75	35	
GROUND CHAKKAR BIG (25 PCS)	100	400	https://amsakthipyropark.com/wp-content/uploads/2024/07/157.png
GROUND CHAKKAR SPECIAL	75	300	https://amsakthipyropark.com/wp-content/uploads/2024/07/41.png
GROUND CHAKKAR DELUXE	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/158.png
DISCO WHEEL	137.5	550	https://amsakthipyropark.com/wp-content/uploads/2024/07/156.png
WINNER SPECIAL	187.5	750	"https://amsakthipyropark.com/wp-content/uploads/2024/07/155.png, https://amsakthipyropark.com/wp-content/uploads/2024/07/1000093100-scaled.jpg"
WINNER DELUXE	225	900	https://amsakthipyropark.com/wp-content/uploads/2024/07/158.png
FLOWER POTS BIG	52.5	210	https://amsakthipyropark.com/wp-content/uploads/2024/07/141.png
FLOWER POTS SPL	81.25	325	https://amsakthipyropark.com/wp-content/uploads/2024/07/138.png
FLOWER POTS ASHOKA	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/164.png
FLOWER POTS DELUXE	137.5	550	https://amsakthipyropark.com/wp-content/uploads/2024/07/142.png
COLOUR KOTI	175	700	https://amsakthipyropark.com/wp-content/uploads/2024/07/137.png
CLASSIC BOMB	112.5	450	https://amsakthipyropark.com/wp-content/uploads/2024/07/99.png
KING BOMB	93.75	375	https://amsakthipyropark.com/wp-content/uploads/2024/07/46.png
HYDRO BOMB	56.25	225	https://amsakthipyropark.com/wp-content/uploads/2024/07/98.png
ATOM BOMB	52.5	210	https://amsakthipyropark.com/wp-content/uploads/2024/07/96.png
BULLET BOMB	23.75	95	
PAPER BOMB (14 KG)	50	200	https://amsakthipyropark.com/wp-content/uploads/2024/07/213.png
PAPER BOMB (12 KG)	100	400	https://amsakthipyropark.com/wp-content/uploads/2024/07/211.png
11/2 ' TWINKLING STAR	22.5	90	https://amsakthipyropark.com/wp-content/uploads/2024/07/207.png
4' TWINKLING STAR	62.5	250	https://amsakthipyropark.com/wp-content/uploads/2024/07/206.png
JIL JIL (100 PCE)	375	1500	https://amsakthipyropark.com/wp-content/uploads/2024/07/205.png
POP CORN PENCIL	225	900	
WATER FALLS PENCIL	225	900	
SIVAKASI SPECIAL	225	900	https://amsakthipyropark.com/wp-content/uploads/2024/07/1000093071-scaled.jpg
ROCKET BOMB	56.25	225	https://amsakthipyropark.com/wp-content/uploads/2024/07/188.png
ROCKET LUNIK EXPRESS	137.5	550	https://amsakthipyropark.com/wp-content/uploads/2024/07/190.png
ROCKET TWO SOUND	118.75	475	https://amsakthipyropark.com/wp-content/uploads/2024/07/192.png
ROCKET THREE SOUND	125	500	https://amsakthipyropark.com/wp-content/uploads/2024/07/191.png
