name,saleprice,regularprice
"4"" GOLD LAKSHMI",30,120
"4"" LAKSHMI",16.25,65
"4"" MEGA LAKSHMI",31.25,125
"31/ "" LAKSHMI",15,60
"4"" QUEEN CRACKERS",17.5,70
"2*/4"" KURUVI",8.75,35
GROUND CHAKKAR BIG (25 PCS),100,400
GROUND CHAKKAR SPECIAL,75,300
GROUND CHAKKAR DELUXE,112.5,450
DISCO WHEEL,137.5,550
WINNER SPECIAL,187.5,750
WINNER DELUXE,225,900
FLOWER POTS BIG,52.5,210
FLOWER POTS SPL,81.25,325
FLOWER POTS ASHOKA,112.5,450
FLOWER POTS DELUXE,137.5,550
COLOUR KOTI,175,700
CLASSIC BOMB,112.5,450
KING BOMB,93.75,375
HYDRO BOMB,56.25,225
ATOM BOMB,52.5,210
BULLET BOMB,23.75,95
PAPER BOMB (14 KG),50,200
PAPER BOMB (12 KG),100,400
11/2 ' TWINKLING STAR,22.5,90
4' TWINKLING STAR,62.5,250
JIL JIL (100 PCE),375,1500
POP CORN PENCIL,225,900
WATER FALLS PENCIL,225,900
SIVAKASI SPECIAL,225,900
ROCKET BOMB,56.25,225
ROCKET LUNIK EXPRESS,137.5,550
ROCKET TWO SOUND,118.75,475
ROCKET THREE SOUND,125,500
ROCKET MUSICAL,131.25,525
BAD BOY (3 PCS),325,1300
TOUCH ME FOILS,162.5,650
5 G,150,600
GROUND CHAKKAR BIG (25 PCS),137.5,550
GROUND CHAKKAR SPECIAL,137.5,550
GROUND CHAKKAR DELUXE,312.5,1250
DISCO WHEEL,150,600
WINNER SPECIL,246.75,987
WINNER DELUXE,132.5,530
SIREN MINI (5 PCS),150,600
FLOWER POTS BIG,243.75,975
FLOWER POTS SPL,162.5,650
FLOWER POTS ASHOKA,118.75,475
FLOWER POTS DELUXE,100,400
COLOUR KOTI,150,600
YELLOW HEART (5 PCS),137.5,550
GOLDEN COIN,150,600
YOGA COLOR BOX BIG,28.75,115
MINI COLOR MATCH BOX (3 PCS),15,60
BLACK MONEY,312.5,1250
SHINCHAN,112.5,450
OLD IS GOLD (25 PCS),246.25,985
90 WATTS (S PCS),150,600
SOUND MARRIAGE,225,900
MONEY BANK,246.25,985
PLANET WHEELING SHOW,246.25,985
COLORS SMOKE,187.5,750
4 X 4 WHEEL,225,900
MINI PISTOL 5 G (5 PCS),200,800
BIG PISTOL 5 G (2 PCS),225,900
WHISTLING DIXIE,100,400
RING RING,187.5,750
FIRE EGG,175,700
PEACOCK MINI,200,800
BADAA PEACOCK,262.5,1050
DRONE (5PCS),162.5,650
SELFIE STICK,150,600
PHOTO FLASH,83.75,335
TREND WHEEL NEW,162.5,650
HELICOPTER,100,400
JEE BOOM BAA,56.25,225
ELECTIC STONE,62.5,250
MAGIC POPS,63.75,255
PAMPARAM,100,400
BUTTERFLY,87.5,350
50 DELUXE 4,225,900
"4"" 24 DELUXE",112.5,450
24 DELEXE,100,400
3 1/2 32 DELUXE,125,500
"4"" 32 DELUXE",150,600
"4"" 100 DELUXE",350,1400
